,week,n_1,n_2,n_3,top n_1,top n_2,top n_3
0,1,"[{'ngram': 'fm', 'count': 1}, {'ngram': 'helpful', 'count': 1}, {'ngram': 'mike', 'count': 1}, {'ngram': 'results', 'count': 1}, {'ngram': 'test', 'count': 1}, {'ngram': 'thanks', 'count': 1}, {'ngram': 'today', 'count': 1}]","[{'ngram': 'fm test', 'count': 1}, {'ngram': 'mike helpful', 'count': 1}, {'ngram': 'results fm', 'count': 1}, {'ngram': 'test today', 'count': 1}, {'ngram': 'thanks mike', 'count': 1}]","[{'ngram': 'fm test today', 'count': 1}, {'ngram': 'results fm test', 'count': 1}, {'ngram': 'thanks mike helpful', 'count': 1}]","[('fm', 1), ('helpful', 1), ('mike', 1), ('results', 1), ('test', 1), ('thanks', 1), ('today', 1)]","[('fm test', 1), ('mike helpful', 1), ('results fm', 1), ('test today', 1), ('thanks mike', 1)]","[('fm test today', 1), ('results fm test', 1), ('thanks mike helpful', 1)]"
1,4,"[{'ngram': '20', 'count': 2}, {'ngram': 'good', 'count': 2}, {'ngram': 'issue', 'count': 2}, {'ngram': 'it', 'count': 2}, {'ngram': 'packages', 'count': 2}, {'ngram': 'test', 'count': 2}, {'ngram': 'travis', 'count': 2}, {'ngram': 'type', 'count': 2}, {'ngram': 'ai', 'count': 1}, {'ngram': 'already', 'count': 1}]","[{'ngram': '20 count', 'count': 1}, {'ngram': '20 packs', 'count': 1}, {'ngram': 'ai slack', 'count': 1}, {'ngram': 'already fix', 'count': 1}, {'ngram': 'amount type', 'count': 1}, {'ngram': 'apply rest', 'count': 1}, {'ngram': 'archives c04hf6qkd1s', 'count': 1}, {'ngram': 'behind lowering', 'count': 1}, {'ngram': 'box main', 'count': 1}, {'ngram': 'c04hf6qkd1s p1672785883111049', 'count': 1}]","[{'ngram': '20 count pepperoni', 'count': 1}, {'ngram': '20 packs happening', 'count': 1}, {'ngram': 'ai slack com', 'count': 1}, {'ngram': 'already fix issue', 'count': 1}, {'ngram': 'amount type cases', 'count': 1}, {'ngram': 'apply rest products', 'count': 1}, {'ngram': 'archives c04hf6qkd1s p1672785883111049', 'count': 1}, {'ngram': 'behind lowering cc', 'count': 1}, {'ngram': 'box main reason', 'count': 1}, {'ngram': 'c04hf6qkd1s p1672785883111049 this', 'count': 1}]","[('20', 2), ('good', 2), ('issue', 2), ('it', 2), ('packages', 2), ('test', 2), ('travis', 2), ('type', 2)]","[('20 count', 1), ('20 packs', 1), ('ai slack', 1), ('already fix', 1), ('amount type', 1), ('apply rest', 1), ('archives c04hf6qkd1s', 1), ('behind lowering', 1), ('box main', 1), ('c04hf6qkd1s p1672785883111049', 1)]","[('20 count pepperoni', 1), ('20 packs happening', 1), ('ai slack com', 1), ('already fix issue', 1), ('amount type cases', 1), ('apply rest products', 1), ('archives c04hf6qkd1s p1672785883111049', 1), ('behind lowering cc', 1), ('box main reason', 1), ('c04hf6qkd1s p1672785883111049 this', 1)]"
2,6,"[{'ngram': 'fans', 'count': 47}, {'ngram': 'config', 'count': 41}, {'ngram': 'need', 'count': 33}, {'ngram': 'belt', 'count': 32}, {'ngram': 'yes', 'count': 31}, {'ngram': 'change', 'count': 30}, {'ngram': 'speed', 'count': 29}, {'ngram': 'c8', 'count': 25}, {'ngram': 'deployment', 'count': 24}, {'ngram': '100', 'count': 22}]","[{'ngram': 'belt speed', 'count': 21}, {'ngram': '445 445', 'count': 16}, {'ngram': '100 100', 'count': 11}, {'ngram': 'old config', 'count': 8}, {'ngram': 'config folder', 'count': 7}, {'ngram': 'looks like', 'count': 7}, {'ngram': 'belt speeds', 'count': 6}, {'ngram': '100 445', 'count': 4}, {'ngram': 'backdoor fans', 'count': 4}, {'ngram': 'box filter', 'count': 4}]","[{'ngram': '445 445 445', 'count': 12}, {'ngram': '100 100 100', 'count': 6}, {'ngram': '100 100 445', 'count': 4}, {'ngram': '100 445 445', 'count': 4}, {'ngram': 'belt speed ui', 'count': 3}, {'ngram': 'need restart ui', 'count': 3}, {'ngram': '12 ct selected', 'count': 2}, {'ngram': 'back old config', 'count': 2}, {'ngram': 'belt speed 30', 'count': 2}, {'ngram': 'change belt speed', 'count': 2}]","[('fans', 47)]","[('belt speed', 21)]","[('445 445 445', 12)]"
3,16,"[{'ngram': 'freezer', 'count': 3}, {'ngram': 'nestle', 'count': 3}, {'ngram': 'selene', 'count': 3}, {'ngram': 'space', 'count': 3}, {'ngram': '660', 'count': 2}, {'ngram': 'testing', 'count': 2}, {'ngram': 'time', 'count': 2}, {'ngram': '40', 'count': 1}, {'ngram': '_you_', 'count': 1}, {'ngram': 'additional', 'count': 1}]","[{'ngram': 'freezer space', 'count': 2}, {'ngram': '40 value', 'count': 1}, {'ngram': '660 solutions', 'count': 1}, {'ngram': '660 testing', 'count': 1}, {'ngram': '_you_ decide', 'count': 1}, {'ngram': 'additional freezer', 'count': 1}, {'ngram': 'advise additional', 'count': 1}, {'ngram': 'allocate space', 'count': 1}, {'ngram': 'at time', 'count': 1}, {'ngram': 'available needed', 'count': 1}]","[{'ngram': '40 value packs', 'count': 1}, {'ngram': '660 solutions at', 'count': 1}, {'ngram': '660 testing done', 'count': 1}, {'ngram': '_you_ decide allocate', 'count': 1}, {'ngram': 'additional freezer space', 'count': 1}, {'ngram': 'advise additional freezer', 'count': 1}, {'ngram': 'allocate space lw', 'count': 1}, {'ngram': 'at time 660', 'count': 1}, {'ngram': 'available needed _you_', 'count': 1}, {'ngram': 'bought 660 solutions', 'count': 1}]","[('freezer', 3), ('nestle', 3), ('selene', 3), ('space', 3)]","[('freezer space', 2)]","[('40 value packs', 1), ('660 solutions at', 1), ('660 testing done', 1), ('_you_ decide allocate', 1), ('additional freezer space', 1), ('advise additional freezer', 1), ('allocate space lw', 1), ('at time 660', 1), ('available needed _you_', 1), ('bought 660 solutions', 1)]"
4,20,"[{'ngram': 'per', 'count': 11}, {'ngram': 'fm', 'count': 10}, {'ngram': 'need', 'count': 10}, {'ngram': '12', 'count': 8}, {'ngram': 'case', 'count': 7}, {'ngram': 'hp', 'count': 7}, {'ngram': 'product', 'count': 7}, {'ngram': '20', 'count': 6}, {'ngram': 'cheese', 'count': 6}, {'ngram': 'ct', 'count': 6}]","[{'ngram': 'per case', 'count': 7}, {'ngram': 'ct per', 'count': 6}, {'ngram': 'hot pockets', 'count': 6}, {'ngram': '12 ct', 'count': 4}, {'ngram': 'cheese potatoes', 'count': 3}, {'ngram': 'pack varieties', 'count': 3}, {'ngram': 'per box', 'count': 3}, {'ngram': '10 flavors', 'count': 2}, {'ngram': '17 20', 'count': 2}, {'ngram': 'com products', 'count': 2}]","[{'ngram': 'ct per case', 'count': 6}, {'ngram': '12 ct per', 'count': 4}, {'ngram': 'com products detectomer', 'count': 2}, {'ngram': 'detectablex ray inspectable', 'count': 2}, {'ngram': 'detectomer metal detectablex', 'count': 2}, {'ngram': 'docs google com', 'count': 2}, {'ngram': 'fm hot pockets', 'count': 2}, {'ngram': 'hp pepperoni pizza', 'count': 2}, {'ngram': 'https docs google', 'count': 2}, {'ngram': 'https rubberfab com', 'count': 2}]","[('per', 11)]","[('per case', 7)]","[('ct per case', 6)]"
5,21,"[{'ngram': 'min', 'count': 7}, {'ngram': 'one', 'count': 5}, {'ngram': 'we', 'count': 5}, {'ngram': '75ft', 'count': 4}, {'ngram': 'fm', 'count': 4}, {'ngram': 'nestle', 'count': 4}, {'ngram': 'test', 'count': 4}, {'ngram': 'uhmw', 'count': 4}, {'ngram': '20', 'count': 3}, {'ngram': '75', 'count': 3}]","[{'ngram': '75ft min', 'count': 4}, {'ngram': 'we re', 'count': 3}, {'ngram': '175ft min', 'count': 2}, {'ngram': 'belt speed', 'count': 2}, {'ngram': 'gasket sample', 'count': 2}, {'ngram': 'pick one', 'count': 2}, {'ngram': '10 30', 'count': 1}, {'ngram': '10 fm', 'count': 1}, {'ngram': '12 pack', 'count': 1}, {'ngram': '15 https', 'count': 1}]","[{'ngram': '10 30 today', 'count': 1}, {'ngram': '10 fm nestle', 'count': 1}, {'ngram': '12 pack 17', 'count': 1}, {'ngram': '15 https docs', 'count': 1}, {'ngram': '17 u02lj4xkc56 u01t92wgmj4', 'count': 1}, {'ngram': '175 needed validate', 'count': 1}, {'ngram': '175 normally running', 'count': 1}, {'ngram': '175ft min dubious', 'count': 1}, {'ngram': '175ft min thx', 'count': 1}, {'ngram': '1dandx1l0dhk4xdcdtpgqb6ervmr1upq5 edit slide', 'count': 1}]","[('min', 7)]","[('75ft min', 4)]","[('10 30 today', 1), ('10 fm nestle', 1), ('12 pack 17', 1), ('15 https docs', 1), ('17 u02lj4xkc56 u01t92wgmj4', 1), ('175 needed validate', 1), ('175 normally running', 1), ('175ft min dubious', 1), ('175ft min thx', 1), ('1dandx1l0dhk4xdcdtpgqb6ervmr1upq5 edit slide', 1)]"
6,22,"[{'ngram': '14', 'count': 2}, {'ngram': 'attached', 'count': 1}, {'ngram': 'call', 'count': 1}, {'ngram': 'day', 'count': 1}, {'ngram': 'demo', 'count': 1}, {'ngram': 'nestle', 'count': 1}, {'ngram': 'site', 'count': 1}, {'ngram': 'suggest', 'count': 1}, {'ngram': 'summary', 'count': 1}, {'ngram': 'thanks', 'count': 1}]","[{'ngram': 'attached site', 'count': 1}, {'ngram': 'call tomorrow', 'count': 1}, {'ngram': 'day nestle', 'count': 1}, {'ngram': 'nestle demo', 'count': 1}, {'ngram': 'site visit', 'count': 1}, {'ngram': 'suggest call', 'count': 1}, {'ngram': 'summary attached', 'count': 1}, {'ngram': 'today suggest', 'count': 1}, {'ngram': 'visit today', 'count': 1}]","[{'ngram': 'attached site visit', 'count': 1}, {'ngram': 'day nestle demo', 'count': 1}, {'ngram': 'site visit today', 'count': 1}, {'ngram': 'suggest call tomorrow', 'count': 1}, {'ngram': 'summary attached site', 'count': 1}, {'ngram': 'today suggest call', 'count': 1}, {'ngram': 'visit today suggest', 'count': 1}]","[('14', 2)]","[('attached site', 1), ('call tomorrow', 1), ('day nestle', 1), ('nestle demo', 1), ('site visit', 1), ('suggest call', 1), ('summary attached', 1), ('today suggest', 1), ('visit today', 1)]","[('attached site visit', 1), ('day nestle demo', 1), ('site visit today', 1), ('suggest call tomorrow', 1), ('summary attached site', 1), ('today suggest call', 1), ('visit today suggest', 1)]"
7,23,"[{'ngram': 'pack', 'count': 24}, {'ngram': '250', 'count': 20}, {'ngram': 'pepperoni', 'count': 15}, {'ngram': '12', 'count': 14}, {'ngram': '20', 'count': 14}, {'ngram': '0mm', 'count': 10}, {'ngram': '5mm', 'count': 10}, {'ngram': 'meatball', 'count': 9}, {'ngram': 'nestle', 'count': 8}, {'ngram': 'customer', 'count': 7}]","[{'ngram': 'pack pepperoni', 'count': 15}, {'ngram': '12 pack', 'count': 14}, {'ngram': '250 12', 'count': 12}, {'ngram': '0mm 250', 'count': 10}, {'ngram': '20 pack', 'count': 10}, {'ngram': '5mm 250', 'count': 10}, {'ngram': 'pack meatball', 'count': 9}, {'ngram': '250 20', 'count': 7}, {'ngram': 'machines loop', 'count': 4}, {'ngram': 'aluminum 5mm', 'count': 3}]","[{'ngram': '250 12 pack', 'count': 12}, {'ngram': '20 pack pepperoni', 'count': 10}, {'ngram': '12 pack meatball', 'count': 9}, {'ngram': '250 20 pack', 'count': 7}, {'ngram': '5mm 250 12', 'count': 7}, {'ngram': '0mm 250 12', 'count': 5}, {'ngram': '12 pack pepperoni', 'count': 5}, {'ngram': '0mm 250 20', 'count': 4}, {'ngram': '5mm 250 20', 'count': 3}, {'ngram': 'aluminum 5mm 250', 'count': 3}]","[('pack', 24)]","[('pack pepperoni', 15)]","[('250 12 pack', 12)]"
8,24,"[{'ngram': 'c10', 'count': 5}, {'ngram': 'c9', 'count': 4}, {'ngram': '500', 'count': 3}, {'ngram': 'product', 'count': 3}, {'ngram': '100', 'count': 2}, {'ngram': 'best', 'count': 2}, {'ngram': 'fm', 'count': 2}, {'ngram': 'nestle', 'count': 2}, {'ngram': 'ready', 'count': 2}, {'ngram': 'right', 'count': 2}]","[{'ngram': 'c9 c10', 'count': 3}, {'ngram': '100 500', 'count': 1}, {'ngram': '100 fail', 'count': 1}, {'ngram': '12 pack', 'count': 1}, {'ngram': '30pm monday', 'count': 1}, {'ngram': '500 100', 'count': 1}, {'ngram': '500 alternating', 'count': 1}, {'ngram': '500 frr', 'count': 1}, {'ngram': 'alternating good', 'count': 1}, {'ngram': 'anyone using', 'count': 1}]","[{'ngram': '100 500 100', 'count': 1}, {'ngram': '100 fail 500', 'count': 1}, {'ngram': '12 pack cheese', 'count': 1}, {'ngram': '500 100 fail', 'count': 1}, {'ngram': '500 alternating good', 'count': 1}, {'ngram': '500 frr 100', 'count': 1}, {'ngram': 'alternating good bad', 'count': 1}, {'ngram': 'anyone using c9', 'count': 1}, {'ngram': 'application review forms', 'count': 1}, {'ngram': 'apply settings sorry', 'count': 1}]","[('c10', 5)]","[('c9 c10', 3)]","[('100 500 100', 1), ('100 fail 500', 1), ('12 pack cheese', 1), ('500 100 fail', 1), ('500 alternating good', 1), ('500 frr 100', 1), ('alternating good bad', 1), ('anyone using c9', 1), ('application review forms', 1), ('apply settings sorry', 1)]"
9,25,"[{'ngram': 'cloud', 'count': 11}, {'ngram': '12', 'count': 7}, {'ngram': 'nestle', 'count': 7}, {'ngram': 'test', 'count': 7}, {'ngram': 'thanks', 'count': 7}, {'ngram': 'c10', 'count': 6}, {'ngram': 'c9', 'count': 6}, {'ngram': 'ct', 'count': 6}, {'ngram': 'get', 'count': 6}, {'ngram': 'hp', 'count': 6}]","[{'ngram': '12 ct', 'count': 5}, {'ngram': 'amp c10', 'count': 3}, {'ngram': 'c9 amp', 'count': 3}, {'ngram': 'pizza 12', 'count': 3}, {'ngram': 'product codes', 'count': 3}, {'ngram': '140 ft', 'count': 2}, {'ngram': 'c9 c10', 'count': 2}, {'ngram': 'calibration files', 'count': 2}, {'ngram': 'cascading test', 'count': 2}, {'ngram': 'changed false', 'count': 2}]","[{'ngram': 'c9 amp c10', 'count': 3}, {'ngram': 'pizza 12 ct', 'count': 3}, {'ngram': '140 ft min', 'count': 2}, {'ngram': 'config process_params json', 'count': 2}, {'ngram': 'hp pepperoni pizza', 'count': 2}, {'ngram': 'pepperoni pizza 12', 'count': 2}, {'ngram': 'true changed false', 'count': 2}, {'ngram': '10 30 pst', 'count': 1}, {'ngram': '1000 changed save_highres_rejects', 'count': 1}, {'ngram': '11007858 hp pepperoni', 'count': 1}]","[('cloud', 11)]","[('12 ct', 5)]","[('c9 amp c10', 3), ('pizza 12 ct', 3)]"
